studentId,studentName,skillType,tableIndex,rowIndex,col0,col1,col2,sourceUrl,needsReview
kurumi,Kurumi,ex,6,0,EX Skill Cost 3,"SkillIcon_Background_Explosive.svg | 59px-SKILLICON_CH0173_EXSKILL.png | 防護盾、展開 • Tactical shield, deployed Reload instantly after skill activation. Activate a tactical shield effect of 226~430% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing)",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,1,Lv.,Cost,Description,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,2,1,3,"Reload instantly after skill activation. Activate a tactical shield effect of 226% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing)",https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,3,2,"Beginner Tactical Training Blu-ray (Valkyrie) | Rohonc Codex Page | Credits | Reload instantly after skill activation. Activate a tactical shield effect of 260% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing) 12 14 80k",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,4,3,"Normal Tactical Training Blu-ray (Valkyrie) | Beginner Tactical Training Blu-ray (Valkyrie) | Damaged Rohonc Codex | Golden Thread | Credits | Reload instantly after skill activation. Activate a tactical shield effect of 328% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing) 12 18 14 27 500k",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,5,4,"Advanced Tactical Training Blu-ray (Valkyrie) | Normal Tactical Training Blu-ray (Valkyrie) | Annotated Rohonc Codex | Golden Thread Spool | Credits | Reload instantly after skill activation. Activate a tactical shield effect of 362% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing) 12 18 9 27 3M",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,ex,6,6,5,"Superior Tactical Training Blu-ray (Valkyrie) | Advanced Tactical Training Blu-ray (Valkyrie) | Intact Rohonc Codex | Golden Thread Yarn | Credits | Reload instantly after skill activation. Activate a tactical shield effect of 430% Healing for 10 seconds , change to Tactical Defense state while the tactical shield is active. (Tactical Shield: When the effect ends, restore HP by 50% of the remaining shield amount. If another shield effect is applied while you have a Tactical Shield, instead of applying the shield, restore Tactical Shield by 100% of Healing) 8 18 9 19 10M",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,0,ExtraPassive Skill,"SkillIcon_Background_Explosive.svg | 59px-COMMON_SKILLICON_FORMCHANGE.png | 鉄壁の防御 • Ironclad defense When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 21.2~34% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 2~3.1 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,1,Lv.,Description,,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,2,1,"When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 21.2% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 2 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,3,2,"When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 24.4% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 2 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,4,3,"When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 27.6% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 2.6 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,5,4,"When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 30.8% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 2.6 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,extraPassive,7,6,5,"When Kurumi is in Tactical Defense state, instead of performing normal attacks, when her shield is attacked, she restores her Tactical Shield by 34% of Healing (up to a maximum of 30 times). When exiting Tactical Defense state, inflict Stun on one enemy for 3.1 seconds .",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,0,Normal Skill,"SkillIcon_Background_Explosive.svg | 59px-COMMON_SKILLICON_STATDEBUFF.png | 攻勢転換 • Offensive transition When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 15.1~28.6% for 32 seconds . Deal 211~401% damage.",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,1,Lv.,Description,,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,2,1,"When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 15.1% for 32 seconds . Deal 211% damage.",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,3,2,"Beginner Tech Notes (Valkyrie) | Credits | When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 15.8% for 32 seconds . Deal 222% damage. 5 5000",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,4,3,"Beginner Tech Notes (Valkyrie) | Credits | When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 16.6% for 32 seconds . Deal 232% damage. 8 7500",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,5,4,"Normal Tech Notes (Valkyrie) | Beginner Tech Notes (Valkyrie) | Rohonc Codex Page | Credits | When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 19.6% for 32 seconds . Deal 274% damage. 5 12 5 60k",,https://bluearchive.wiki/wiki/Kurumi,true
kurumi,Kurumi,normal,8,6,5,"Normal Tech Notes (Valkyrie) | Damaged Rohonc Codex | Golden Thread | Credits | When Tactical Defense state is deactivated, reduce one enemy's Critical Damage Resistance by 20.3% for 32 seconds . Deal 285% damage. 8 3 11 90k",,https://bluearchive.wiki/wiki/Kurumi,true
